factor,category,poc_status,ai_use,human_review_required,reason
address,property,allowed,allowed,no,"Needed for parcel match, property validation, and hazard lookup. Watch proxy risk when using geography."
state,regulatory,allowed,allowed,no,"Needed to apply state-specific rules."
zip_code,property,allowed_with_controls,rules_only,yes_if_adverse,"Can proxy for protected traits; tie usage to property/hazard validation, not demographics."
year_built,property,allowed,allowed,no,"Direct physical-property risk signal."
square_footage,property,allowed,allowed,no,"Useful for replacement-cost and data consistency validation."
roof_age,property,allowed,allowed,no,"Direct homeowners risk signal for wind/hail/water loss."
roof_material,property,allowed,allowed,no,"Direct property durability and hazard signal."
roof_condition_ai,property,allowed_with_controls,assist_only,yes_if_poor_or_low_confidence,"Image/vendor AI can flag issues but should not be sole adverse basis."
construction_type,property,allowed,allowed,no,"Direct physical-risk signal."
occupancy,property,allowed,allowed,yes_if_not_owner_occupied,"Material homeowners eligibility factor."
prior_claims,claims,allowed_with_controls,allowed,yes_if_high_or_adverse,"Claims data is relevant but consumer-report/adverse-action controls can apply."
clue_loss_history,claims,allowed_with_controls,summarize_only,yes_if_adverse,"Use for validation and patterns; adverse outcomes require reasonability and notices."
wildfire_score,hazard,allowed_with_controls,allowed,yes_if_high,"Direct hazard exposure but needs source documentation and explainability."
flood_zone,hazard,allowed,allowed,yes_if_special_flood_zone,"Direct hazard signal; standard HO coverage usually excludes flood."
wind_hail_score,hazard,allowed_with_controls,allowed,yes_if_high,"Direct hazard exposure."
distance_to_coast,hazard,allowed,allowed,yes_if_high_risk,"Direct catastrophe exposure."
distance_to_fire_station,protection,allowed,allowed,no,"Direct protection factor."
pool,liability,allowed,allowed,yes_if_liability_flag,"Direct liability exposure."
trampoline,liability,allowed,allowed,yes_if_liability_flag,"Direct liability exposure."
dog_declared,liability,caution,human_review_only,yes,"Can be state/carrier-sensitive; avoid unsupported blanket rules."
credit_score_used,consumer_report,state_gated,rules_only,yes,"Highly regulated and should not be used as sole adverse basis; blocked in this POC for MD homeowners."
social_media,behavioral,blocked,not_allowed,yes,"High privacy/proxy-bias risk and weak actuarial nexus."
internet_browsing,behavioral,blocked,not_allowed,yes,"High privacy/proxy-bias risk and weak actuarial nexus."
device_data,behavioral,blocked,not_allowed,yes,"High privacy/proxy-bias risk and flagged by CA CDI as concerning."
biometric_data,sensitive,blocked,not_allowed,yes,"Sensitive and not appropriate for homeowners validation."
race_religion_national_origin_sex_disability,protected_class,blocked_for_decisioning,testing_only_with_counsel,yes,"Protected traits must not drive underwriting decisions; may only be used for approved compliance testing."
